# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "./Fixed_analysis/mm10.refGene.gtf" "-o" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/mT5-RNAseq_gene_counts_fixed.txt" "-t" "exon" "-g" "gene_id" "-T" "8" "-p" "-s" "0" "--ignoreDup" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras242_S117.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras467_S118.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_11_S119.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_14_S120.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren2_S125.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren_S116.marked.bam" 
Geneid	Chr	Start	End	Strand	Length	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras242_S117.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras467_S118.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_11_S119.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_14_S120.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren2_S125.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren_S116.marked.bam
Adat3	chr10;chr10	80602880;80606314	80602949;80607654	+;+	1411	274	267	236	368	427	472
Pip4p1	chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14	50927215;50927215;50927215;50927215;50928821;50928821;50928821;50928821;50929006;50929006;50929006;50929006;50929202;50929202;50929584;50929584;50929584;50929584;50930134;50930134;50930134;50930134;50930613;50930613;50930634;50930634	50928037;50928037;50928037;50928037;50928911;50928911;50928911;50928911;50929058;50929058;50929058;50929058;50929307;50929307;50929690;50929690;50929690;50929690;50930324;50930324;50930324;50930324;50930849;50930849;50930849;50930849	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1608	2089	2564	2483	3340	3456	3301
5031425F14Rik	chr2;chr2;chr2	166447451;166453568;166458421	166448647;166453656;166458770	+;+;+	1636	0	0	0	0	0	0
Psmd6	chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14	14112185;14112526;14114123;14116148;14116384;14116825;14119987;14120739	14112386;14112603;14114291;14116256;14116603;14116970;14120192;14120945	-;-;-;-;-;-;-;-	1337	8464	9534	6321	10611	11979	14658
Vmn2r82	chr10;chr10;chr10;chr10;chr10;chr10	79356591;79377797;79378692;79381153;79385352;79395838	79356805;79378088;79379501;79381380;79385475;79396766	+;+;+;+;+;+	2598	0	0	0	0	1	0
Vsig8	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	172555938;172559608;172559906;172560234;172560234;172560558;172560558;172561496;172561496;172561959;172561959;172563019;172563019	172556120;172559783;172559983;172560435;172560435;172560779;172560779;172561615;172561615;172562157;172562157;172563717;172563717	+;+;+;+;+;+;+;+;+;+;+;+;+	1879	2	5	2	11	2	5
Sec16b	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	157506796;157506796;157507386;157524785;157524785;157526170;157529164;157529164;157529164;157531280;157531280;157531280;157532053;157532053;157532053;157533079;157533079;157533079;157534629;157534629;157534629;157535361;157535361;157535361;157535852;157535852;157535852;157537518;157537518;157537518;157538113;157538113;157538113;157543866;157543866;157543866;157546199;157546199;157546199;157551007;157551007;157551007;157552933;157552933;157552933;157554747;157554747;157554747;157556765;157556765;157556765;157558035;157558035;157558035;157559449;157559449;157559449;157560683;157560683;157560683;157561516;157561516;157561516;157564447;157564447;157564447;157564761;157564761;157564761;157565421;157565421;157565421;157565653;157565653;157565653;157566628;157566628;157566628;157567276;157567276;157567276	157506860;157506860;157507553;157524853;157524853;157526224;157529504;157529504;157529504;157531392;157531392;157531392;157532173;157532173;157532173;157533178;157533178;157533178;157534773;157534773;157534773;157535512;157535512;157535512;157535913;157535913;157535913;157537653;157537653;157537653;157538343;157538343;157538343;157543963;157543963;157543963;157546280;157546280;157546280;157551124;157551124;157551124;157553044;157553044;157553044;157554852;157554852;157554852;157556905;157556905;157556905;157558148;157558148;157558148;157559521;157559521;157559521;157560976;157560976;157560976;157561583;157561583;157561583;157564596;157564596;157564596;157564859;157564859;157564859;157565529;157565529;157565529;157565732;157565732;157565732;157566726;157566726;157566726;157568424;157568424;157568424	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4650	18	0	103	153	12	8
Gm24572	chr16	18284550	18284637	-	88	0	0	0	0	0	0
Psmd1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	86064619;86070583;86071614;86071827;86075799;86077356;86078568;86082037;86083147;86085182;86086030;86086575;86088809;86089994;86092003;86094276;86116575;86118510;86126456;86128136;86130637;86132714;86133638;86136963;86139080	86064805;86070626;86071687;86071996;86076004;86077499;86078794;86082097;86083275;86085270;86086108;86086748;86088920;86090190;86092098;86094340;86116689;86118626;86126558;86128305;86130729;86132800;86133784;86137116;86139295	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3256	13319	15416	10120	18667	18598	22212
Gm17019	chr5;chr5;chr5;chr5;chr5	15028950;15030173;15030983;15031625;15032800	15029427;15030353;15031126;15031784;15033007	-;-;-;-;-	1171	0	0	2	0	0	0
Ncoa5	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	165000357;165002639;165004097;165009323;165010451;165012836;165023146;165034683	165002171;165002959;165004296;165009449;165010587;165013162;165023212;165034779	-;-;-;-;-;-;-;-	3091	2165	2845	2164	3253	2856	3299
Olfr98	chr17	37262733	37263662	-	930	0	0	0	0	0	2
Rskr	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	78290841;78291424;78291755;78291962;78292405;78292694;78292954;78293384;78293529;78293876;78294062;78294593	78290939;78291669;78291838;78292030;78292474;78292798;78292994;78293411;78293618;78293964;78294172;78296805	+;+;+;+;+;+;+;+;+;+;+;+	3245	41	30	41	103	124	65
Atp1a4	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	172223508;172224097;172227083;172227300;172231132;172231925;172232186;172233953;172234406;172234939;172239701;172240005;172244027;172244338;172244831;172246632;172250886;172251284;172254053;172254857;172257643;172257885;172258355	172223826;172224188;172227184;172227430;172231277;172232048;172232340;172234121;172234556;172235075;172239873;172240194;172244161;172244447;172245032;172246900;172251003;172251418;172254166;172255063;172257702;172258060;172258424	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3485	0	2	1	1	1	6
Spns3	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	72498156;72499355;72499638;72505056;72529534;72536528;72537171;72538324;72539035;72540415;72545888;72549998	72498474;72499526;72499736;72505121;72529723;72536680;72537319;72538390;72539186;72540551;72545953;72550246	-;-;-;-;-;-;-;-;-;-;-;-	1819	3171	5862	665	1120	831	1036
Pnrc2	chr4;chr4;chr4	135870926;135872895;135873674	135872454;135873099;135873846	-;-;-	1907	15867	18705	14108	19107	15081	18636
Snrnp48	chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13	38204939;38209877;38210207;38211067;38216325;38217374;38220688;38221235;38226874	38205128;38209990;38210267;38211141;38216513;38217495;38220776;38221393;38227663	+;+;+;+;+;+;+;+;+	1789	4671	4162	5470	7267	6814	6675
Lancl3	chrX;chrX;chrX;chrX;chrX	9199973;9248039;9251222;9257946;9265526	9200802;9248162;9251419;9258153;9268085	+;+;+;+;+	3920	231	136	286	913	272	223
Tdpoz4	chr3	93796398	93797510	+	1113	66	53	18	22	34	51
Tdpoz3	chr3	93826020	93827117	+	1098	0	4	0	2	2	0
C1ql2	chr1;chr1	120340582;120342395	120341801;120343174	+;+	2000	0	0	0	0	0	0
Plac9a	chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14	25888403;25888896;25890761;25902786;26028173;26028666;26030529;26042552;26167787;26168280;26170143;26182166	25888526;25889019;25890855;25902893;26028296;26028789;26030623;26042659;26167910;26168403;26170237;26182273	-;-;-;-;-;-;-;-;-;-;-;-	1353	0	0	0	0	0	0
Cd300e	chr11;chr11;chr11;chr11	115051917;115054476;115055246;115061985	115053360;115054578;115055593;115062039	-;-;-;-	1950	0	0	0	0	0	0
Mir3961	chr13	82698275	82698333	-	59	0	0	0	0	0	0
Vopp1	chr6;chr6;chr6;chr6;chr6	57752264;57762435;57774711;57789977;57824927	57754676;57762571;57774788;57790035;57825125	-;-;-;-;-	2886	7029	9426	7604	10347	7761	6982
Stk33	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	109279216;109279216;109312271;109312271;109320797;109320797;109321461;109321461;109325681;109325681;109327592;109327592;109329533;109329533;109331469;109331469;109336041;109336041;109338320;109338320;109340369;109341289;109353559;109438579;109438917	109279856;109279856;109312420;109312420;109320882;109320882;109321573;109321573;109325756;109325756;109327679;109327679;109329621;109329621;109331607;109331607;109336145;109336145;109338433;109338433;109340479;109341639;109353752;109438845;109439053	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2661	0	0	0	0	0	0
Tmprss11f	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	86521226;86528160;86529891;86533635;86535201;86537990;86539695;86544779;86556892;86591410;86632324	86524170;86528302;86530150;86533836;86535239;86538153;86539762;86544897;86557046;86591490;86632424	-;-;-;-;-;-;-;-;-;-;-	4277	0	10	0	0	0	4
4930568D16Rik	chr2;chr2;chr2;chr2;chr2;chr2	35354218;35355508;35362320;35364754;35366199;35367630	35355036;35355645;35362367;35364789;35366284;35367729	-;-;-;-;-;-	1227	0	0	0	0	0	0
Mir3544	chr12	109585813	109585873	-	61	0	0	0	0	0	0
4930405A10Rik	chr14;chr14;chr14;chr14	22507174;22531013;22534570;22542695	22507767;22531198;22534661;22542798	-;-;-;-	976	0	0	0	0	0	2
Gnptg	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	25234296;25234318;25234808;25234808;25234980;25234980;25235182;25235182;25235345;25235345;25235534;25235534;25235705;25235705;25235856;25235856;25239775;25239775;25239914;25239914;25240060;25240060	25234722;25234722;25234889;25234889;25235111;25235111;25235264;25235264;25235459;25235480;25235627;25235627;25235788;25235788;25235910;25235910;25239842;25239842;25239971;25239971;25240116;25240140	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1300	1849	2119	1672	3330	2369	2555
Tssk2	chr16	17898637	17900024	+	1388	4	6	7	15	0	2
Tssk1	chr16	17894203	17895653	+	1451	8	18	21	24	13	16
Ctr9	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	111028951;111030214;111033691;111034348;111035288;111038386;111040555;111042816;111043026;111043417;111043614;111043836;111045377;111046254;111046516;111046763;111049264;111049510;111050434;111050945;111051450;111052302;111053382;111053814;111055359	111029181;111030312;111033930;111034465;111035377;111038534;111040662;111042923;111043262;111043506;111043742;111044019;111045465;111046439;111046603;111046911;111049380;111049655;111050505;111051080;111051596;111052459;111053478;111053926;111056377	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4300	5195	6264	5005	7364	6299	6864
Gstz1	chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12	87147165;87147707;87147707;87155473;87157603;87157603;87157893;87157893;87157893;87157893;87157893;87159078;87159078;87159078;87159640;87159640;87159640;87159640;87159640;87160050;87160050;87160050;87160050;87160050;87161475;87161475;87161475;87161475;87161475;87162040;87162040;87162040;87162040;87162040;87162988;87162988;87162988;87162988;87162988;87163704;87163704;87163704;87163704;87163704	87147508;87147844;87147844;87155569;87157660;87157660;87157944;87157944;87157944;87157944;87157944;87159145;87159145;87159145;87159720;87159720;87159720;87159720;87159720;87160175;87160175;87160175;87160175;87160175;87161553;87161553;87161553;87161553;87161553;87162092;87162092;87162092;87162092;87162092;87163037;87163037;87163037;87163037;87163037;87164723;87164723;87164723;87164723;87164723	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2166	1789	2235	1964	2561	2418	2618
Tmem30c	chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16	57266139;57269999;57276123;57276703;57277652;57281261;57290716;57292795	57266594;57270208;57276263;57276790;57277753;57281371;57290932;57292851	-;-;-;-;-;-;-;-	1382	0	0	0	4	4	5
Naa40	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	7225668;7228352;7229722;7229948;7230188;7234104;7235063;7240938	7228091;7228429;7229805;7230106;7230283;7234156;7235158;7241222	-;-;-;-;-;-;-;-	3275	2193	2823	1624	2820	3057	3291
Ubqln5	chr7	104127913	104129823	-	1911	0	0	0	0	0	0
Efcab8	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	153779246;153779931;153780891;153781764;153783641;153787634;153789156;153792708;153794367;153797643;153798556;153802368;153804887;153809828;153810206;153810872;153812624;153814379;153816368;153820295;153822534;153823739;153831380;153832116;153838866;153841118;153842891;153843156;153844092	153779425;153779972;153781079;153781815;153783806;153787752;153789259;153792843;153794472;153797727;153798680;153802441;153805017;153809895;153810357;153811006;153812734;153814606;153816438;153820499;153822713;153823885;153831598;153832274;153839034;153841250;153843086;153843254;153844752	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4442	28	40	23	33	77	64
Mir3072	chr12	109747878	109747960	+	83	0	0	0	0	0	1
Mir3099	chr7	6803587	6803670	+	84	0	0	0	0	0	0
Myo7b	chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18	31959234;31959799;31960036;31960840;31961175;31961808;31962278;31962666;31964388;31965510;31966206;31966820;31967130;31967922;31969437;31971321;31971537;31972825;31973981;31975075;31976259;31976970;31980986;31983223;31983529;31983852;31984929;31986614;31988512;31989482;31990138;31994256;31994784;31998023;31998588;31999952;32000271;32001343;32003491;32005431;32007001;32010052;32013261;32014204;32015432;32021535;32036873	31959502;31959918;31960119;31960956;31961360;31961914;31962365;31962779;31964493;31965665;31966359;31966977;31967260;31968103;31969600;31971447;31971654;31972992;31974208;31975248;31976378;31977096;31981113;31983381;31983738;31984022;31985147;31986698;31988606;31989580;31990290;31994393;31994947;31998158;31998798;32000094;32000390;32001419;32003644;32005544;32007143;32010173;32013445;32014356;32015545;32021575;32036931	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6591	190	183	2368	81	2120	1053
4930539N22Rik	chr3;chr3;chr3;chr3	13597139;13634389;13636948;13652830	13597836;13634567;13637111;13652865	-;-;-;-	1077	0	0	0	0	0	0
A930002C04Rik	chr13;chr13;chr13	47143940;47147498;47148466	47146125;47147613;47148670	-;-;-	2507	0	0	0	0	0	1
Mir466e	chr2;chr2	10476630;10479088	10476713;10479171	+;+	168	0	0	0	0	0	0
Gria1	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	57011618;57011618;57013046;57015154;57015154;57015154;57185793;57185793;57185793;57189653;57189653;57189653;57201126;57201126;57201126;57217772;57217772;57217772;57221018;57221018;57221018;57228921;57228921;57228921;57236894;57236894;57236894;57237947;57237947;57237947;57242749;57242749;57242749;57283510;57283510;57283510;57289248;57289248;57289248;57309769;57310608;57310608;57317666;57317666;57317666;57327443;57327443;57327443	57012115;57012115;57013170;57015291;57015291;57015291;57186032;57186032;57186032;57189837;57189837;57189837;57201179;57201179;57201179;57217933;57217933;57217933;57221185;57221185;57221185;57229025;57229025;57229025;57237004;57237004;57237004;57238153;57238153;57238153;57243119;57243119;57243119;57283708;57283708;57283708;57289495;57289495;57289495;57309883;57310722;57310722;57317800;57317800;57317800;57330244;57330244;57330244	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5978	0	0	0	0	0	0
4931419H13Rik	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	55055242;55058275;55059614;55061005;55061589;55063678;55083724;55083864	55055436;55058326;55059712;55061114;55061757;55063836;55083773;55084002	+;+;+;+;+;+;+;+	973	0	0	0	0	0	4
Cd300ld5	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	115020689;115022683;115024363;115026859;115031447;115033441;115035120;115037616	115020920;115022845;115024704;115026933;115031678;115033603;115035461;115037690	-;-;-;-;-;-;-;-	1624	0	0	0	0	0	0
Prdm9	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	15543072;15553235;15553352;15554688;15554688;15555087;15555087;15555566;15555566;15557301;15557301;15557547;15559023;15559023;15562415;15562415;15562814;15562814;15563221;15563221;15564236	15545360;15553545;15553545;15554755;15554755;15555358;15555358;15555667;15555667;15557457;15557457;15557574;15559072;15559072;15562522;15562522;15562937;15562937;15563331;15563331;15564354	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3739	660	634	649	1031	1337	1008
Pnp2	chr14;chr14;chr14;chr14;chr14;chr14	50956141;50959515;50963105;50963390;50963679;50964256	50956228;50959684;50963208;50963565;50963869;50964749	+;+;+;+;+;+	1223	41	25	28	49	55	44
Ftsj1	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	8238668;8238668;8245060;8245060;8245284;8245284;8245552;8245552;8246336;8246336;8246532;8246532;8246727;8246727;8246869;8246869;8248979;8248979;8250396;8250396;8250569;8250569;8250880;8250880;8252172;8252172	8240830;8240830;8245101;8245101;8245472;8245472;8245655;8245649;8246419;8246419;8246634;8246634;8246780;8246780;8246921;8246921;8249057;8249057;8250486;8250486;8250638;8250638;8251037;8251037;8252406;8252406	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3425	1403	1646	1302	1965	2579	2794
Pcgf1	chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6	83078390;83078895;83079116;83079434;83079640;83079922;83080054;83080550;83080710	83078478;83079000;83079268;83079505;83079745;83079955;83080140;83080630;83080855	+;+;+;+;+;+;+;+;+	874	653	748	713	989	903	977
Emc10	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	44489937;44489938;44491163;44491955;44491955;44492144;44492144;44492554;44492554;44493190;44493190;44494808;44494808;44496256;44496256	44490970;44490970;44491249;44492048;44492048;44492325;44492325;44492658;44492658;44493299;44493299;44494880;44494880;44496513;44496418	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1943	3067	4116	3241	4591	4967	5297
Trim37	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	87127075;87127075;87127075;87127075;87127075;87129716;87129716;87129716;87129716;87129716;87137590;87137590;87137590;87137590;87140485;87140485;87140485;87140485;87140485;87143127;87143127;87143127;87143127;87143127;87145464;87145464;87145464;87145464;87145464;87146934;87146934;87146934;87146934;87146934;87149296;87149296;87149296;87149296;87149296;87159821;87159821;87159821;87159821;87159821;87163819;87163819;87163819;87163819;87163819;87166602;87166602;87166602;87166602;87166602;87167440;87167440;87167440;87167440;87167440;87177849;87177849;87177849;87177849;87177849;87182421;87182421;87182421;87182421;87182421;87184884;87184884;87184884;87184884;87184884;87186379;87186379;87186379;87186379;87186379;87190074;87190074;87190074;87190074;87190074;87196821;87196821;87196821;87196821;87196821;87201318;87201318;87201318;87201318;87201318;87205933;87205933;87205933;87205933;87206764;87206764;87206764;87206764;87206764;87209769;87209769;87209769;87209769;87209769;87216437;87216437;87216437;87216437;87218252;87218252;87218252;87218252;87218252;87250591	87127494;87127494;87127494;87127494;87127494;87129817;87129817;87129817;87129817;87129817;87137630;87137630;87137630;87137630;87140601;87140601;87140601;87140601;87140601;87143214;87143214;87143214;87143214;87143214;87145586;87145586;87145586;87145586;87145586;87147057;87147057;87147057;87147057;87147057;87149363;87149363;87149363;87149363;87149363;87159945;87159945;87159945;87159945;87159945;87163869;87163869;87163869;87163869;87163869;87166683;87166683;87166683;87166683;87166683;87167516;87167516;87167516;87167516;87167516;87178028;87178028;87178028;87178028;87178028;87182535;87182535;87182535;87182535;87182535;87185102;87185102;87185102;87185102;87185102;87186515;87186515;87186515;87186515;87186515;87190159;87190159;87190159;87190159;87190159;87197015;87197015;87197015;87197015;87197015;87201626;87201626;87201626;87201626;87201626;87206055;87206055;87206055;87206055;87206953;87206953;87206953;87206953;87206953;87209887;87209887;87209887;87209887;87209887;87216547;87216547;87216547;87216547;87220686;87220686;87218330;87220686;87220686;87250860	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5907	4695	7292	4260	7331	7836	8140
Rdh5	chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10	128913591;128913591;128914135;128914135;128917880;128917880;128918253;128918253;128919147;128919147	128913936;128913936;128914298;128914298;128918138;128918138;128918592;128918597;128919297;128919297	-;-;-;-;-;-;-;-;-;-	1265	208	200	187	368	265	294
F630042J09Rik	chr13;chr13;chr13;chr13	67278594;67279134;67280972;67281967	67278745;67280525;67281196;67283361	+;+;+;+	3164	23	0	49	37	19	10
Cbfb	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	105170674;105170674;105170674;105170674;105171306;105171306;105171306;105171306;105178593;105178593;105178593;105194475;105194475;105194475;105194475;105202452;105202452;105202452;105215904;105215904;105215904;105215904	105171053;105171053;105171053;105171053;105171392;105171392;105171392;105171392;105178709;105178709;105178709;105194591;105194591;105194591;105194591;105202547;105202578;105202547;105217988;105217988;105217988;105217988	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2913	4765	6388	3185	7089	7884	8432
Slitrk2	chrX;chrX;chrX;chrX;chrX	66649318;66653159;66653318;66653862;66653862	66649500;66653371;66653371;66661402;66661402	+;+;+;+;+	7937	0	2	2	0	6	4
4930480G23Rik	chr4;chr4;chr4;chr4;chr4	19979445;19983188;19985181;20005164;20005548	19979820;19983616;19985384;20005221;20005739	-;-;-;-;-	1259	2	4	0	0	0	0
Bri3bp	chr5;chr5;chr5;chr5;chr5;chr5;chr5	125441568;125441568;125451670;125451670;125452148;125454326;125454326	125441892;125441892;125451772;125451772;125452245;125460885;125460885	+;+;+;+;+;+;+	7086	2343	3867	2913	3928	6098	5524
